age,sex,race,sexori,relig_attend,equal_mar,poli,feel_LGB,feel_T,know_LGB,know_T,feel_LGBT,know_LGBT
33,1,1,3,4,NA,4,50,50,1,0,50,0.5
27,1,2,3,7,NA,3,100,85,0,0,92.5,0
67,1,1,NA,0,5,1,70,75,1,0,72.5,0.5
42,1,1,3,6,3,6,50,50,1,0,50,0.5
56,2,1,2,4,5,4,85,85,1,0,85,0.5
59,2,1,2,0,NA,2,100,100,1,1,100,1
68,2,1,NA,0,5,2,100,100,1,0,100,0.5
63,1,1,NA,3,5,6,50,50,1,0,50,0.5
81,2,1,3,0,NA,6,70,50,0,0,60,0
20,2,1,NA,0,4,5,100,100,1,1,100,1
26,2,1,2,1,NA,2,50,50,1,0,50,0.5
35,2,1,3,0,5,2,50,50,1,0,50,0.5
43,2,1,3,0,5,3,70,60,1,0,65,0.5
68,2,1,3,0,NA,5,50,50,1,0,50,0.5
58,2,1,3,1,5,2,100,50,1,0,75,0.5
24,2,1,3,0,NA,2,100,100,1,0,100,0.5
53,2,1,3,0,NA,7,50,50,0,0,50,0
70,1,1,NA,7,2,7,50,70,1,0,60,0.5
45,1,1,3,1,4,4,50,50,0,0,50,0
84,1,1,3,7,NA,5,15,15,0,0,15,0
65,1,1,3,5,4,3,85,85,0,0,85,0
52,2,1,3,0,NA,4,50,50,1,0,50,0.5
30,1,1,NA,0,5,3,50,45,1,0,47.5,0.5
71,2,1,NA,0,NA,6,50,0,0,0,25,0
54,1,1,NA,0,NA,6,40,40,0,0,40,0
80,2,1,NA,0,NA,1,50,40,0,0,45,0
48,2,3,NA,7,1,4,0,50,0,0,25,0
55,2,1,NA,1,4,7,50,50,1,0,50,0.5
85,2,1,3,7,3,4,60,40,1,0,50,0.5
62,1,1,3,8,NA,5,50,50,1,0,50,0.5
78,2,1,NA,7,5,4,85,70,1,0,77.5,0.5
72,2,1,3,7,NA,2,100,100,1,1,100,1
63,2,1,3,7,NA,4,50,50,1,0,50,0.5
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,100,100,1,0,100,0.5
NA,NA,NA,NA,NA,NA,NA,50,50,1,0,50,0.5
NA,NA,NA,NA,NA,NA,NA,50,50,0,0,50,0
NA,NA,NA,NA,NA,NA,NA,100,85,1,0,92.5,0.5
NA,NA,NA,NA,NA,NA,NA,60,50,1,0,55,0.5
NA,NA,NA,NA,NA,NA,NA,50,50,1,0,50,0.5
NA,NA,NA,NA,NA,NA,NA,100,85,1,0,92.5,0.5
NA,NA,NA,NA,NA,NA,NA,85,85,1,1,85,1
NA,NA,NA,NA,NA,NA,NA,60,60,0,0,60,0
NA,NA,NA,NA,NA,NA,NA,90,70,1,0,80,0.5
NA,NA,NA,NA,NA,NA,NA,100,100,1,0,100,0.5
NA,NA,NA,NA,NA,NA,NA,50,50,0,0,50,0
NA,NA,NA,NA,NA,NA,NA,60,40,1,0,50,0.5
NA,NA,NA,NA,NA,NA,NA,85,85,1,0,85,0.5
NA,NA,NA,NA,NA,NA,NA,50,50,1,0,50,0.5
NA,NA,NA,NA,NA,NA,NA,50,50,1,0,50,0.5
NA,NA,NA,NA,NA,NA,NA,50,50,1,0,50,0.5
NA,NA,NA,NA,NA,NA,NA,100,100,1,0,100,0.5
