age,sex,race,sexori,relig_attend,equal_mar,poli,feel_LGB,feel_T,know_LGB,know_T,feel_LGBT,know_LGBT
78,2,1,3,8,1,6,50,50,0,0,50,0
63,1,1,3,0,5,1,80,75,1,1,77.5,1
41,1,1,3,7,3,5,75,70,1,0,72.5,0.5
65,2,1,3,7,5,1,95,90,1,1,92.5,1
46,2,1,3,7,2,6,25,50,1,0,37.5,0.5
70,2,1,3,4,5,2,70,50,1,0,60,0.5
55,2,1,3,1,3,4,85,70,1,1,77.5,1
26,1,1,3,2,5,2,100,100,1,0,100,0.5
56,1,1,3,7,1,4,50,30,1,1,40,1
42,1,1,1,0,4,2,70,60,0,0,65,0
37,2,1,3,7,2,6,50,50,0,0,50,0
71,2,1,3,2,4,4,30,30,1,0,30,0.5
65,1,3,3,0,4,4,5,6,1,0,5.5,0.5
39,1,1,3,0,4,5,90,80,1,0,85,0.5
41,1,1,3,3,4,2,75,70,1,0,72.5,0.5
45,2,3,3,5,3,5,50,50,0,0,50,0
58,2,1,2,0,5,2,100,100,1,1,100,1
25,2,1,3,2,5,4,80,70,1,0,75,0.5
67,1,1,3,7,1,6,0,15,0,0,7.5,0
69,2,1,3,8,2,7,50,50,0,0,50,0
51,1,3,3,7,3,7,50,50,0,0,50,0
39,1,2,2,2,4,4,50,50,0,0,50,0
48,2,2,3,4,5,3,80,80,1,0,80,0.5
65,1,1,3,5,3,4,70,50,0,0,60,0
38,1,2,3,3,4,5,45,40,0,0,42.5,0
69,1,1,3,2,4,2,70,55,1,0,62.5,0.5
56,1,1,3,2,4,5,30,30,1,0,30,0.5
44,1,1,3,4,5,4,90,80,1,0,85,0.5
62,2,1,3,7,2,6,85,90,1,0,87.5,0.5
51,2,1,3,3,5,5,90,75,1,0,82.5,0.5
72,1,1,3,7,5,2,60,50,1,0,55,0.5
36,2,1,3,1,5,4,70,60,0,0,65,0
61,1,1,3,0,2,5,0,0,1,0,0,0.5
20,1,1,1,5,5,2,100,100,1,1,100,1
58,2,1,3,7,5,4,85,85,1,0,85,0.5
44,1,1,3,2,5,3,60,70,1,0,65,0.5
25,2,1,3,5,4,2,80,85,0,1,82.5,0.5
75,2,1,3,3,2,6,50,50,0,0,50,0
68,2,1,3,6,4,4,60,50,1,0,55,0.5
28,1,1,3,0,5,1,100,40,1,1,70,1
23,1,1,3,3,5,3,65,60,1,1,62.5,1
25,1,3,3,2,5,3,85,85,0,0,85,0
44,2,1,3,7,5,4,100,100,1,0,100,0.5
44,2,1,3,4,4,4,50,50,0,0,50,0
58,2,1,3,2,5,2,70,70,1,1,70,1
22,1,1,3,4,5,2,85,100,1,1,92.5,1
54,2,1,3,7,5,3,100,100,1,0,100,0.5
33,1,1,3,0,5,2,80,80,1,1,80,1
74,2,1,3,3,5,3,85,85,0,0,85,0
58,2,1,3,2,5,3,70,50,1,0,60,0.5
60,2,1,3,1,5,3,85,85,1,0,85,0.5
70,2,1,3,2,5,2,100,100,1,0,100,0.5
54,2,1,3,7,5,4,85,85,0,0,85,0
32,2,2,3,2,3,4,85,85,1,0,85,0.5
58,1,1,3,7,1,6,50,50,0,0,50,0
67,1,1,3,3,2,3,85,85,1,0,85,0.5
52,2,1,2,1,5,2,50,50,1,1,50,1
38,2,1,3,0,4,5,100,85,1,1,92.5,1
39,2,1,3,4,2,6,50,50,0,0,50,0
75,1,1,3,0,4,4,50,50,0,0,50,0
42,1,1,3,7,1,6,50,50,1,0,50,0.5
67,2,1,3,7,4,5,30,50,0,0,40,0
24,2,2,2,0,4,4,100,100,1,0,100,0.5
44,2,2,3,3,5,2,70,85,1,0,77.5,0.5
58,1,1,3,0,5,3,100,100,1,1,100,1
